"Source:","C:\Users\User\Desktop\Misc\Speaker\Discrete_Channel\Discrete_Channel.sch"
"Date:","11/7/2021 2:22:24 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"","","C28","220 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H221JX5","https://www.digikey.com/en/products/detail/ECH-U1H221JX5/PCF1320CT-ND/353792","","ECH-U1H221JX5"
"","","C29","220 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H221JX5","https://www.digikey.com/en/products/detail/ECH-U1H221JX5/PCF1320CT-ND/353792","","ECH-U1H221JX5"
"","","C30","680 nF","Device:C_Small","Large_Capacitor:C_2824","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/wima/SMDIC03680TB00MQ00/9449100","","SMDIC03680TB00MQ00"
"","","C31","680 nF","Device:C_Small","Large_Capacitor:C_2824","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/wima/SMDIC03680TB00MQ00/9449100","","SMDIC03680TB00MQ00"
"","","C32","2.2 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H222GX5","https://www.digikey.com/product-detail/en/ECH-U1H222GX5/PCF1300CT-ND/353772","","ECH-U1H222GX5"
"","","C33","2.2 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H222GX5","https://www.digikey.com/product-detail/en/ECH-U1H222GX5/PCF1300CT-ND/353772","","ECH-U1H222GX5"
"","","C34","2.2 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H222GX5","https://www.digikey.com/product-detail/en/ECH-U1H222GX5/PCF1300CT-ND/353772","","ECH-U1H222GX5"
"","","C35","2.2 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H222GX5","https://www.digikey.com/product-detail/en/ECH-U1H222GX5/PCF1300CT-ND/353772","","ECH-U1H222GX5"
"","","C36","220 nF","Device:C_Small","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/SMDID03220QB00MP00/1928-1907-1-ND/9449183","","SMDID03220QB00MP00"
"","","C37","220 nF","Device:C_Small","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/SMDID03220QB00MP00/1928-1907-1-ND/9449183","","SMDID03220QB00MP00"
"","","C38","10 nF","Device:C_Small","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/SMDID02100KA00MP00/1928-1903-1-ND/9449179","","SMDID02100KA00MP00"
"","","C39","10 nF","Device:C_Small","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/SMDID02100KA00MP00/1928-1903-1-ND/9449179","","SMDID02100KA00MP00"
"","","J1","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","",""
"","","J2","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"","","J3","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","",""
"","","J4","Banna Jack","Connector:Conn_01x03_Female","Connector:Banana_Jack_3Pin","~","","",""
"","","JP1","Jumper_NO_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","","",""
"","","L1","10 uH","Device:L_Small","Inductor_SMD:L_12x12mm_H6mm","https://www.we-online.com/katalog/datasheet/74477110.pdf","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","74477110"
"","","L2","10 uH","Device:L_Small","Inductor_SMD:L_12x12mm_H6mm","https://www.we-online.com/katalog/datasheet/74477110.pdf","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","","74477110"
"","","L3","10 uH","Device:L_Small","Inductor_SMD:L_12x12mm_H6mm","https://www.we-online.com/katalog/datasheet/74477110.pdf","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","","74477110"
"","","L4","10 uH","Device:L_Small","Inductor_SMD:L_12x12mm_H6mm","https://www.we-online.com/katalog/datasheet/74477110.pdf","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","","74477110"
"","","L5","10 uH","Device:L_Small","Inductor_SMD:L_12x12mm_H6mm","https://www.we-online.com/katalog/datasheet/74477110.pdf","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","","74477110"
"","","R1","3R3","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/data/global/pdfs/CRS.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRS2512-FW-3R30ELF/5778664","","CRS2512-FW-3R30ELF"
"","","R2","3R3","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/data/global/pdfs/CRS.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRS2512-FW-3R30ELF/5778664","","CRS2512-FW-3R30ELF"
"","","R3","30k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB303V/3073756","","‎ERA-6ARB303V‎"
"","","R4","22k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB223V/3073750","","ERA-6ARB223V"
"","","R5","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncf.pdf","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BKT10K0/1711521","","RNCF0805BKT10K0"
"","","R6","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncf.pdf","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BKT10K0/1711521","","RNCF0805BKT10K0"
"","","R7","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncf.pdf","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BKT10K0/1711521","","RNCF0805BKT10K0"
